Name,Start,Duration,TID,Category
MegaBlock mlp forward,47.4327s,535.083 μs,457618,
MegaBlock reorder and remove padding,47.4332s,160.326 μs,457618,
MegaSparse generate indices,47.4334s,468.557 μs,457618,
MegaSparse generate topo,47.4339s,758.040 μs,457618,
MegaSparse mlp forward,47.4346s,213.200 μs,457618,
MoE route,47.4349s,263.591 μs,457618,
MegaBlock generate indices,47.4351s,427.165 μs,457618,
MegaBlock padded and reorder tokens,47.4356s,229.566 μs,457618,
MegaBlock generate topo,47.4358s,579.699 μs,457618,
MegaBlock mlp forward,47.4364s,543.773 μs,457618,
MegaBlock reorder and remove padding,47.4369s,152.195 μs,457618,
MegaSparse generate indices,47.4371s,466.258 μs,457618,
MegaSparse generate topo,47.4376s,765.826 μs,457618,
MegaSparse mlp forward,47.4384s,220.525 μs,457618,
MoE route,47.4386s,260.965 μs,457618,
MegaBlock generate indices,47.4389s,441.212 μs,457618,
MegaBlock padded and reorder tokens,47.4393s,217.154 μs,457618,
MegaBlock generate topo,47.4395s,577.509 μs,457618,
MegaBlock mlp forward,47.4401s,544.651 μs,457618,
MegaBlock reorder and remove padding,47.4407s,151.376 μs,457618,
MegaSparse generate indices,47.4408s,467.123 μs,457618,
MegaSparse generate topo,47.4413s,772.223 μs,457618,
MegaSparse mlp forward,47.4421s,229.678 μs,457618,
MoE route,47.4423s,242.756 μs,457618,
MegaBlock generate indices,47.4426s,443.200 μs,457618,
MegaBlock padded and reorder tokens,47.443s,222.844 μs,457618,
MegaBlock generate topo,47.4433s,582.715 μs,457618,
MegaBlock mlp forward,47.4438s,537.763 μs,457618,
MegaBlock reorder and remove padding,47.4444s,163.818 μs,457618,
MegaSparse generate indices,47.4446s,467.394 μs,457618,
MegaSparse generate topo,47.4451s,757.787 μs,457618,
MegaSparse mlp forward,47.4458s,234.441 μs,457618,
MoE route,47.4461s,246.792 μs,457618,
MegaBlock generate indices,47.4463s,446.122 μs,457618,
MegaBlock padded and reorder tokens,47.4468s,215.246 μs,457618,
MegaBlock generate topo,47.447s,581.302 μs,457618,
MegaBlock mlp forward,47.4476s,546.012 μs,457618,
MegaBlock reorder and remove padding,47.4481s,153.164 μs,457618,
MegaSparse generate indices,47.4483s,478.772 μs,457618,
MegaSparse generate topo,47.4488s,791.476 μs,457618,
MegaSparse mlp forward,47.4496s,219.806 μs,457618,
MoE route,47.4498s,245.931 μs,457618,
MegaBlock generate indices,47.4501s,448.992 μs,457618,
MegaBlock padded and reorder tokens,47.4505s,213.787 μs,457618,
MegaBlock generate topo,47.4507s,582.284 μs,457618,
MegaBlock mlp forward,47.4513s,544.848 μs,457618,
MegaBlock reorder and remove padding,47.4519s,166.538 μs,457618,
MegaSparse generate indices,47.4521s,464.607 μs,457618,
MegaSparse generate topo,47.4526s,786.922 μs,457618,
MegaSparse mlp forward,47.4533s,216.044 μs,457618,
MoE route,47.4536s,261.738 μs,457618,
MegaBlock generate indices,47.4538s,428.572 μs,457618,
MegaBlock padded and reorder tokens,47.4543s,231.518 μs,457618,
MegaBlock generate topo,47.4545s,569.591 μs,457618,
MegaBlock mlp forward,47.4551s,531.852 μs,457618,
MegaBlock reorder and remove padding,47.4556s,163.923 μs,457618,
MegaSparse generate indices,47.4558s,469.240 μs,457618,
MegaSparse generate topo,47.4563s,769.112 μs,457618,
MegaSparse mlp forward,47.4571s,219.313 μs,457618,
MoE route,47.4573s,258.545 μs,457618,
MegaBlock generate indices,47.4576s,436.536 μs,457618,
MegaBlock padded and reorder tokens,47.458s,225.751 μs,457618,
