Name,Duration
MegaBlock generate topo,630.631 μs
MegaBlock mlp forward,559.725 μs
MegaBlock reorder and remove padding,175.695 μs
MegaSparse generate indices,475.460 μs
MegaSparse generate topo,744.125 μs
MoE route,254.184 μs
MegaBlock generate indices,440.711 μs
MegaBlock padded and reorder tokens,212.853 μs
MegaBlock generate topo,584.707 μs
MegaBlock mlp forward,599.463 μs
MegaBlock reorder and remove padding,161.362 μs
MegaSparse generate indices,488.796 μs
MegaSparse generate topo,733.446 μs
MoE route,265.268 μs
MegaBlock generate indices,449.990 μs
MegaBlock padded and reorder tokens,212.536 μs
MegaBlock generate topo,580.408 μs
MegaBlock mlp forward,585.667 μs
MegaBlock reorder and remove padding,163.538 μs
MegaSparse generate indices,493.291 μs
MegaSparse generate topo,692.867 μs
MoE route,268.624 μs
MegaBlock generate indices,433.535 μs
MegaBlock padded and reorder tokens,234.579 μs
MegaBlock generate topo,573.149 μs
MegaBlock mlp forward,538.359 μs
MegaBlock reorder and remove padding,156.660 μs
MegaSparse generate indices,502.000 μs
MegaSparse generate topo,749.190 μs
MoE route,271.121 μs
MegaBlock generate indices,454.927 μs
MegaBlock padded and reorder tokens,216.753 μs
MegaBlock generate topo,576.096 μs
MegaBlock mlp forward,586.245 μs
MegaBlock reorder and remove padding,174.046 μs
MegaSparse generate indices,488.124 μs
MegaSparse generate topo,755.283 μs
MoE route,276.234 μs
MegaBlock generate indices,463.172 μs
MegaBlock padded and reorder tokens,213.277 μs
MegaBlock generate topo,634.769 μs
MegaBlock mlp forward,572.188 μs
MegaBlock reorder and remove padding,165.044 μs
MegaSparse generate indices,468.474 μs
MegaSparse generate topo,964.330 μs
MoE route,269.883 μs
MegaBlock generate indices,479.347 μs
MegaBlock padded and reorder tokens,212.106 μs
MegaBlock generate topo,588.845 μs
MegaBlock mlp forward,543.932 μs
MegaBlock reorder and remove padding,153.609 μs
MegaSparse generate indices,468.640 μs
MegaSparse generate topo,821.338 μs
MoE route,279.491 μs
MegaBlock generate indices,467.524 μs
MegaBlock padded and reorder tokens,225.270 μs
MegaBlock generate topo,592.915 μs
MegaBlock mlp forward,545.140 μs
MegaBlock reorder and remove padding,157.249 μs
MegaSparse generate indices,464.783 μs
MegaSparse generate topo,771.208 μs
MoE route,283.849 μs
MegaBlock generate indices,495.005 μs
